par,tp,sl
BTCUSDT,0,0
ETHUSDT,0,0
BNBUSDT,0,0
SOLUSDT,0,0
XRPUSDT,0,0
TONUSDT,0,0
DOGEUSDT,0,0
ADAUSDT,0,0
SHIBUSDT,0,0
AVAXUSDT,0,0
TRXUSDT,0,0
DOTUSDT,0,0
BCHUSDT,0,0
LINKUSDT,0,0
NEARUSDT,0,0
POLUSDT,0,0
LTCUSDT,0,0
ICPUSDT,0,0
UNIUSDT,0,0
ETCUSDT,0,0
HBARUSDT,0,0
APTUSDT,0,0
PEPEUSDT,0,0
ATOMUSDT,0,0
IMXUSDT,0,0
FILUSDT,0,0
XLMUSDT,0,0
STXUSDT,0,0
WIFUSDT,0,0
KASUSDT,0,0
GRTUSDT,0,0
ARUSDT,0,0
ARBUSDT,0,0
OPUSDT,0,0
VETUSDT,0,0
TAOUSDT,0,0
MKRUSDT,0,0
SUIUSDT,0,0
INJUSDT,0,0
THETAUSDT,0,0
RUNEUSDT,0,0
FETUSDT,0,0
TIAUSDT,0,0
FLOKIUSDT,0,0
LDOUSDT,0,0
ALGOUSDT,0,0
1000BONKUSDT,0,0
SEIUSDT,0,0
COREUSDT,0,0
JUPUSDT,0,0
FLOWUSDT,0,0
ENAUSDT,0,0
GALAUSDT,0,0
AAVEUSDT,0,0
BSVUSDT,0,0
BEAMUSDT,0,0
QNTUSDT,0,0
DYDXUSDT,0,0
ONDOUSDT,0,0
WLDUSDT,0,0
CHZUSDT,0,0
EGLDUSDT,0,0
WUSDT,0,0
NEOUSDT,0,0
PENDLEUSDT,0,0
AXSUSDT,0,0
SANDUSDT,0,0
1000XECUSDT,0,0
JASMYUSDT,0,0
XTZUSDT,0,0
CETUSUSDT,0,0
STRKUSDT,0,0
MINAUSDT,0,0
SNXUSDT,0,0
CFXUSDT,0,0
MANAUSDT,0,0
ORDIUSDT,0,0
APEUSDT,0,0
CKBUSDT,0,0
AXLUSDT,0,0
PYTHUSDT,0,0
CAKEUSDT,0,0
IOTAUSDT,0,0
LUNCUSDT,0,0
BLURUSDT,0,0
ROSEUSDT,0,0
GLMUSDT,0,0
LPTUSDT,0,0
OMUSDT,0,0
1000SATSUSDT,0,0
ARKMUSDT,0,0
WOOUSDT,0,0
CRVUSDT,0,0
BAKEUSDT,0,0
SUSHIUSDT,0,0
GMTUSDT,0,0
ETHFIUSDT,0,0
MANTAUSDT,0,0
ZILUSDT,0,0
CELOUSDT,0,0
HOTUSDT,0,0
IOUSDT,0,0
SUPERUSDT,0,0
ZROUSDT,0,0
ZRXUSDT,0,0
ANKRUSDT,0,0
BATUSDT,0,0
JTOUSDT,0,0
IDUSDT,0,0
ENJUSDT,0,0
GRASSUSDT,0,0
HYPEUSDT,0,0
END,0,0
